net,length_um
net17,336.78
_343_,154.5
_338_,150.66
_064_,131.96
_364_,121.44
_339_,121.26
_049_,120.755
_087_,103.96
_110_,103.88
_069_,101.36
_366_,91
_052_,90.01
_118_,89.68
_360_,86.575
_106_,86.295
temp_b\[5\],85.72
_216_,77.46
_361_,77
_357_,74.1
_146_,72.96
_358_,66.49
temp_b\[7\],61.69
temp_b\[3\],59.52
temp_b\[1\],59
temp_a\[1\],58.7
temp_a\[2\],55.92
temp_b\[0\],54.94
temp_b\[6\],54.78
temp_b\[4\],45.9
temp_a\[0\],43.14
temp_a\[7\],40.54
temp_a\[3\],40.26
net18,39.18
temp_a\[4\],38.18
_128_,34.02
temp_a\[6\],32.415
_166_,32.38
_107_,29.04
_161_,28.8
_317_,28.26
_165_,28.22
_206_,27.645
_124_,27.04
_179_,26.92
temp_a\[5\],26.2
_132_,26.02
_119_,25.94
_279_,25.94
_283_,25.22
_271_,25.12
_142_,25
_102_,24.46
_178_,23.88
_209_,23.82
_129_,23.54
_244_,22.34
_093_,21.42
_242_,21.095
_098_,20.72
_160_,20.2
_321_,19.96
_123_,19.86
_066_,19.72
_329_,19.62
_198_,19.26
_210_,18.82
_241_,18.7
_082_,18.58
_265_,18.58
_312_,18.54
_130_,18.32
_259_,18.32
_117_,18.08
_140_,18.06
_257_,18
_092_,17.96
_311_,16.82
_191_,16.74
_227_,16.4
_322_,16.3
_229_,15.86
_135_,15.68
_255_,15.52
_103_,15
_292_,14.94
_318_,14.86
_076_,14.805
_273_,14.8
_203_,14.76
_104_,14.43
_370_,14.34
_169_,14.26
_323_,14.02
_195_,13.96
_196_,13.94
_177_,13.76
_285_,13.6
_055_,13.56
_063_,13.54
net4,13.34
_156_,13.1
_075_,13.06
_148_,12.7
_115_,12.6
_163_,12.34
_079_,12.32
_070_,12.24
_081_,12.14
_071_,12.1
_204_,12.08
_149_,12
_347_,11.94
_235_,11.9
_371_,11.76
_122_,11.72
_060_,11.68
_133_,11.68
_299_,11.575
_194_,11.54
_258_,11.52
_109_,11.46
_155_,11.44
_120_,11.42
_276_,11.26
_078_,11.24
_067_,11.2
_134_,11.18
_057_,11.145
net16,11.04
b[7],11
_154_,10.88
_264_,10.88
_286_,10.8
_310_,10.8
_061_,10.72
_172_,10.68
net10,10.68
_051_,10.66
_187_,10.66
_330_,10.66
a[0],10.66
a[1],10.66
_226_,10.64
_225_,10.56
net15,10.52
_263_,10.5
_287_,10.34
_224_,10.28
_320_,10.2
_074_,10.12
net13,10.1
_284_,9.96
_337_,9.88
a[2],9.74
_058_,9.72
_171_,9.72
_207_,9.72
_127_,9.7
_304_,9.7
b[4],9.64
b[5],9.64
_201_,9.62
_223_,9.62
_274_,9.6
_095_,9.48
_099_,9.46
_296_,9.46
_228_,9.43
net29,9.4
_085_,9.34
_153_,9.28
_121_,9.24
out[1],9.18
_100_,9.16
_324_,9.04
_136_,9.02
_243_,9.02
_289_,9
net5,8.94
_170_,8.92
_144_,8.9
_302_,8.9
_239_,8.84
_315_,8.82
_150_,8.8
_251_,8.8
net12,8.8
b[6],8.72
out[0],8.72
out[2],8.72
out[3],8.72
_200_,8.7
_230_,8.66
net9,8.62
_372_,8.6
_131_,8.52
net28,8.52
_363_,8.48
_214_,8.46
_269_,8.42
_308_,8.36
_126_,8.34
_267_,8.29
_152_,8.2
_167_,8.19
_246_,8.12
_001_,8.1
_162_,8.1
_300_,8.08
out[15],8.04
_199_,8.02
_217_,8.02
_233_,8
_270_,8
_101_,7.88
_245_,7.86
net2,7.84
_197_,7.7
_007_,7.56
_192_,7.54
_158_,7.52
_053_,7.44
_256_,7.44
_368_,7.4
_237_,7.38
net3,7.38
_231_,7.32
_023_,7.25
_295_,7.18
_272_,7.1
_341_,7.1
_084_,7.08
_334_,7.06
net1,7.06
_086_,6.96
_094_,6.94
_139_,6.9
_012_,6.76
_303_,6.74
_096_,6.66
net8,6.66
_306_,6.64
_288_,6.62
reset,6.52
_180_,6.48
_212_,6.48
_185_,6.4
_234_,6.4
_290_,6.4
_316_,6.4
_362_,6.4
net26,6.4
_328_,6.36
_147_,6.335
_305_,6.32
b[3],6.31
_090_,6.28
_097_,6.28
_174_,6.26
_181_,6.26
_193_,6.26
_268_,6.26
net19,6.26
_145_,6.2
_240_,6.2
_208_,6.18
_262_,6.18
_309_,6.16
_202_,6.08
_186_,6.06
_298_,6.02
_005_,5.98
b[1],5.97
_073_,5.96
_159_,5.955
_113_,5.94
_116_,5.94
_278_,5.86
net7,5.86
_331_,5.84
_068_,5.82
_345_,5.8
out[10],5.75
out[4],5.75
_054_,5.72
_088_,5.72
_348_,5.72
_219_,5.7
a[3],5.63
a[6],5.63
_182_,5.6
_028_,5.56
_168_,5.53
_056_,5.48
_250_,5.48
_176_,5.44
out[14],5.41
out[7],5.41
_105_,5.4
_352_,5.36
_048_,5.34
a[5],5.29
_141_,5.26
_340_,5.22
net11,5.16
_249_,5.14
_333_,5.14
_211_,5.12
out[6],5.07
out[8],5.07
out[9],5.07
_138_,5.02
_220_,5.02
_137_,5
_022_,4.99
a[4],4.95
clk,4.95
_065_,4.94
_190_,4.9
_326_,4.88
_050_,4.82
_222_,4.82
net6,4.82
_349_,4.8
net31,4.8
_350_,4.76
out[11],4.73
_297_,4.7
_089_,4.68
_112_,4.68
_125_,4.68
_157_,4.68
_000_,4.66
a[7],4.61
b[0],4.61
b[2],4.61
_232_,4.58
_261_,4.56
_009_,4.48
_010_,4.46
_183_,4.46
_346_,4.46
_359_,4.46
_247_,4.44
_282_,4.44
_353_,4.42
out[12],4.39
out[13],4.39
out[5],4.39
_335_,4.32
_215_,4.24
_072_,4.12
_281_,4.1
_006_,4.02
_014_,4.02
_083_,4.02
_313_,4.02
net32,4.02
_325_,4
_213_,3.945
_293_,3.88
net25,3.88
_036_,3.705
_004_,3.68
_013_,3.68
_008_,3.66
_252_,3.64
_280_,3.64
_091_,3.56
_266_,3.56
net24,3.56
_260_,3.44
_164_,3.42
temp_b\[2\],3.3
_003_,3.22
_041_,3.175
_027_,3.13
_015_,3.1
_111_,3.1
_151_,3.1
_367_,2.96
net21,2.96
_254_,2.86
_277_,2.76
_017_,2.74
_034_,2.715
_184_,2.64
_332_,2.64
_236_,2.62
_238_,2.62
net20,2.62
_032_,2.545
_033_,2.545
_045_,2.545
_080_,2.52
_173_,2.52
_319_,2.52
_248_,2.5
_253_,2.5
_294_,2.5
_336_,2.5
net14,2.5
_043_,2.485
_016_,2.38
_018_,2.38
_019_,2.38
_030_,2.38
_059_,2.315
_020_,2.23
_024_,2.23
_025_,2.23
_175_,2.18
_218_,2.18
_307_,2.18
_026_,2.16
_221_,2.16
_275_,2.16
net23,2.16
net27,2.16
net30,2.16
net33,2.16
_047_,2.125
_038_,2.06
_011_,2.04
_108_,2.04
_143_,2.04
_189_,2.04
_291_,2.04
_037_,2.025
_039_,2.025
_040_,2.025
_035_,1.865
_002_,1.82
_021_,1.82
_029_,1.82
_044_,1.745
_188_,1.72
_114_,1.7
_365_,1.7
net34,1.7
_344_,1.6
_042_,1.405
_046_,1.405
_062_,1.38
_077_,1.38
_031_,1.36
_301_,1.14
_342_,1.14
_351_,1.14
_354_,1.14
_355_,1.14
_356_,1.14
_205_,0.92
_314_,0.92
_327_,0.92
_369_,0.92
net22,0.8
